time	V(in)	V(out)	V(n001)	V(n002)	I(R1)	I(Vb)	I(Ve)	I(Voffset)	Ib(Q1)	Ic(Q1)	Ie(Q1)
0.000000000000000e+00	7.300000e-01	3.454666e+00	1.000000e+01	7.300000e-01	1.309067e-02	-1.309067e-02	-4.219835e-05	-4.219835e-05	4.219835e-05	1.309067e-02	-1.313287e-02
4.275867428496621e-05	7.302967e-01	3.384251e+00	1.000000e+01	7.300000e-01	1.323150e-02	-1.323150e-02	-4.268946e-05	-4.268946e-05	4.268946e-05	1.323150e-02	-1.327419e-02
8.551734856993243e-05	7.305398e-01	3.326508e+00	1.000000e+01	7.300000e-01	1.334698e-02	-1.334698e-02	-4.309223e-05	-4.309223e-05	4.309223e-05	1.334698e-02	-1.339008e-02
1.282760228548986e-04	7.307294e-01	3.281436e+00	1.000000e+01	7.300000e-01	1.343713e-02	-1.343713e-02	-4.340666e-05	-4.340666e-05	4.340666e-05	1.343713e-02	-1.348053e-02
1.710346971398649e-04	7.308655e-01	3.249036e+00	1.000000e+01	7.300000e-01	1.350193e-02	-1.350193e-02	-4.363277e-05	-4.363277e-05	4.363277e-05	1.350193e-02	-1.354556e-02
2.137933714248311e-04	7.309480e-01	3.229307e+00	1.000000e+01	7.300000e-01	1.354139e-02	-1.354139e-02	-4.377055e-05	-4.377055e-05	4.377055e-05	1.354139e-02	-1.358516e-02
2.565520457097973e-04	7.309770e-01	3.222250e+00	1.000000e+01	7.300000e-01	1.355550e-02	-1.355550e-02	-4.381999e-05	-4.381999e-05	4.381999e-05	1.355550e-02	-1.359932e-02
2.993107199947634e-04	7.309524e-01	3.227864e+00	1.000000e+01	7.300000e-01	1.354427e-02	-1.354427e-02	-4.378110e-05	-4.378110e-05	4.378110e-05	1.354427e-02	-1.358805e-02
3.377392914233358e-04	7.308229e-01	3.259332e+00	1.000000e+01	7.300000e-01	1.348134e-02	-1.348134e-02	-4.356075e-05	-4.356075e-05	4.356075e-05	1.348134e-02	-1.352490e-02
3.761678628519081e-04	7.306713e-01	3.295724e+00	1.000000e+01	7.300000e-01	1.340855e-02	-1.340855e-02	-4.330641e-05	-4.330641e-05	4.330641e-05	1.340855e-02	-1.345186e-02
4.145964342804805e-04	7.304978e-01	3.337041e+00	1.000000e+01	7.300000e-01	1.332592e-02	-1.332592e-02	-4.301808e-05	-4.301808e-05	4.301808e-05	1.332592e-02	-1.336894e-02
4.530250057090529e-04	7.303023e-01	3.383283e+00	1.000000e+01	7.300000e-01	1.323343e-02	-1.323343e-02	-4.269576e-05	-4.269576e-05	4.269576e-05	1.323343e-02	-1.327613e-02
4.914535771376252e-04	7.300848e-01	3.434449e+00	1.000000e+01	7.300000e-01	1.313110e-02	-1.313110e-02	-4.233944e-05	-4.233944e-05	4.233944e-05	1.313110e-02	-1.317344e-02
5.298821485661976e-04	7.298453e-01	3.490541e+00	1.000000e+01	7.300000e-01	1.301892e-02	-1.301892e-02	-4.194914e-05	-4.194914e-05	4.194914e-05	1.301892e-02	-1.306087e-02
5.683107199947699e-04	7.295839e-01	3.551557e+00	1.000000e+01	7.300000e-01	1.289689e-02	-1.289689e-02	-4.152485e-05	-4.152485e-05	4.152485e-05	1.289689e-02	-1.293841e-02
6.283107199947712e-04	7.292787e-01	3.621723e+00	1.000000e+01	7.300000e-01	1.275655e-02	-1.275655e-02	-4.103813e-05	-4.103813e-05	4.103813e-05	1.275655e-02	-1.279759e-02
6.883107199947725e-04	7.290916e-01	3.664705e+00	1.000000e+01	7.300000e-01	1.267059e-02	-1.267059e-02	-4.074004e-05	-4.074004e-05	4.074004e-05	1.267059e-02	-1.271133e-02
